R;G;B
40;41;26
40;41;26
41;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;28
42;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
42;42;27
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;43;28
42;42;27
42;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
42;42;28
42;42;27
42;42;27
42;42;27
41;42;27
42;42;27
42;42;27
41;42;27
42;43;28
42;43;28
42;43;29
42;43;29
42;43;28
42;43;28
41;42;27
42;42;27
42;42;27
41;42;27
41;42;28
42;42;27
42;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
40;41;26
40;41;26
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;28
42;42;28
42;42;28
42;42;28
41;42;27
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;28
40;41;26
40;41;26
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
42;42;28
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
43;43;28
43;43;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
41;42;28
41;42;28
42;42;27
42;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;28
41;42;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;28
41;42;28
42;42;27
42;42;27
40;41;27
40;41;27
40;41;27
40;41;27
40;41;27
43;43;28
43;43;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;43;28
42;43;28
41;42;27
41;42;27
42;42;28
42;42;28
43;43;28
43;43;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
43;43;28
43;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
43;43;28
43;43;28
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
40;41;26
40;41;26
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
43;43;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
43;43;28
43;43;28
43;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
40;41;26
40;41;26
40;41;26
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
40;41;26
40;41;26
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;42;27
42;42;27
41;42;27
41;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
42;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
43;43;28
41;42;28
41;42;28
41;42;28
42;43;28
42;43;28
42;42;28
42;42;28
42;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
41;42;28
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;27
42;42;27
41;42;27
41;42;27
43;43;28
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;42;28
42;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
41;42;28
41;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;28
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
42;42;27
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
42;42;27
42;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
40;41;26
40;41;26
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;27
41;42;27
42;42;28
42;42;28
43;43;28
43;43;28
43;43;28
41;42;28
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
42;43;28
42;43;28
42;43;29
42;43;29
40;41;26
40;41;26
41;42;28
41;42;28
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
42;42;27
42;43;28
42;43;28
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
41;42;28
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
43;43;28
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
43;43;29
43;43;29
43;43;29
43;43;29
43;43;29
43;43;29
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
42;43;28
42;43;28
42;43;28
40;41;27
40;41;27
41;42;27
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
43;43;28
43;43;28
43;43;28
42;42;27
42;42;27
42;42;27
41;42;28
41;42;28
42;42;27
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;27
41;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;28
41;42;27
41;42;27
42;42;28
42;42;28
41;41;27
41;42;28
41;42;28
41;42;28
43;43;28
43;43;28
41;42;27
41;42;27
42;42;27
42;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
41;42;27
43;43;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
41;42;28
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
43;43;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
41;42;28
41;42;28
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
41;42;27
42;42;27
41;42;27
41;42;27
43;43;28
43;43;28
42;42;28
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
41;42;27
41;42;28
41;42;27
41;42;27
41;42;27
42;43;28
42;43;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
42;42;28
42;42;27
43;43;28
42;42;27
42;42;27
41;42;28
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
43;43;28
43;43;28
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;28
42;42;28
42;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;28
41;42;28
41;42;28
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;27
42;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
41;42;27
42;42;28
42;42;28
41;42;28
41;42;28
41;42;27
41;42;27
